Time,UTC,FINKEN_SENSOR_MODEL:acceleration_z,FINKEN_SENSOR_MODEL:acceleration_y,FINKEN_SENSOR_MODEL:acceleration_x,FINKEN_SENSOR_MODEL:velocity_yaw,FINKEN_SENSOR_MODEL:velocity_roll,FINKEN_SENSOR_MODEL:velocity_pitch,FINKEN_SENSOR_MODEL:velocity_z,FINKEN_SENSOR_MODEL:velocity_y,FINKEN_SENSOR_MODEL:velocity_x,FINKEN_SENSOR_MODEL:pos_yaw,FINKEN_SENSOR_MODEL:pos_roll,FINKEN_SENSOR_MODEL:pos_pitch,FINKEN_SENSOR_MODEL:pos_z,FINKEN_SENSOR_MODEL:distance_d_back,FINKEN_SENSOR_MODEL:distance_d_left,FINKEN_SENSOR_MODEL:distance_d_rigth,FINKEN_SENSOR_MODEL:distance_d_front
2.570,15:19:21.570,-9.798828,0.137695,0.161133,-0.009521,0.011475,-0.026367,0.,0.,0.,2.486572,-0.01416,0.054932,0.25,101,45,51,101
2.670,15:19:21.670,-9.922852,0.237305,0.12793,-0.009521,0.011475,-0.028564,0.,0.,0.,2.488037,-0.01416,0.054932,0.25,101,45,51,101
2.770,15:19:21.770,-9.904297,0.113281,0.18457,-0.011475,0.010498,-0.025391,0.,0.,0.,2.48877,-0.01416,0.054688,0.25,101,45,51,101
2.870,15:19:21.870,-9.904297,0.113281,0.18457,-0.011475,0.010498,-0.025391,0.,0.,0.,2.48877,-0.01416,0.054688,0.25,101,45,51,101
2.970,15:19:21.970,-9.750977,0.089844,0.108398,-0.011475,0.013672,-0.027588,0.,0.,0.,2.490234,-0.01416,0.054688,0.25,101,45,51,101
3.070,15:19:22.070,-9.808594,0.275391,0.151367,-0.011475,0.015869,-0.028564,0.,0.,0.,2.490723,-0.01416,0.054688,0.25,101,45,51,101
3.170,15:19:22.170,-9.870117,0.118164,0.113281,-0.009521,0.012695,-0.026367,0.,0.,0.,2.491455,-0.01416,0.054688,0.25,102,45,51,101
3.270,15:19:22.270,-9.746094,0.15625,0.174805,-0.011475,0.015869,-0.027588,0.,0.,0.,2.492188,-0.01416,0.054688,0.25,102,45,51,101
3.370,15:19:22.370,-9.746094,0.213867,0.151367,-0.009521,0.011475,-0.024414,0.,0.,0.,2.493164,-0.01416,0.054688,0.25,102,45,51,101
3.470,15:19:22.470,-9.922852,0.132812,0.174805,-0.011475,0.013672,-0.026367,0.,0.,0.,2.493896,-0.01416,0.054688,0.25,102,45,51,101
3.570,15:19:22.570,-9.84668,0.151367,0.237305,-0.010498,0.011475,-0.025391,0.,0.,0.,2.494873,-0.01416,0.054443,0.25,102,45,51,101
3.670,15:19:22.670,-9.793945,0.132812,0.113281,-0.010498,0.012695,-0.026367,0.,0.,0.,2.495361,-0.01416,0.054443,0.25,102,45,51,101
3.770,15:19:22.770,-9.832031,0.18457,0.108398,-0.011475,0.013672,-0.028564,0.,0.,0.,2.49585,-0.01416,0.054443,0.25,102,45,51,101
3.870,15:19:22.870,-9.832031,0.18457,0.108398,-0.011475,0.013672,-0.028564,0.,0.,0.,2.49585,-0.01416,0.054443,0.25,102,45,51,101
3.970,15:19:22.970,-9.789062,0.146484,0.199219,-0.010498,0.014893,-0.025391,0.,0.,0.,2.496582,-0.01416,0.054688,0.25,102,45,51,101
4.070,15:19:23.070,-9.803711,0.166016,0.151367,-0.011475,0.011475,-0.024414,0.,0.,0.,2.498291,-0.014404,0.054688,0.25,102,45,51,101
4.170,15:19:23.170,-9.866211,0.18457,0.12793,-0.010498,0.008301,-0.025391,0.,0.,0.,2.499023,-0.01416,0.054688,0.25,102,45,51,101
4.270,15:19:23.270,-9.818359,0.151367,0.104492,-0.010498,0.014893,-0.028564,0.,0.,0.,2.499756,-0.01416,0.054688,0.25,102,45,51,101
4.370,15:19:23.370,-9.856445,0.104492,0.113281,-0.010498,0.014893,-0.026367,0.,0.,0.,2.500244,-0.01416,0.054688,0.25,102,45,51,101
4.470,15:19:23.470,-9.779297,0.175781,0.132812,-0.011475,0.011475,-0.025391,0.,0.,0.,2.500977,-0.01416,0.054688,0.25,102,45,51,101
4.570,15:19:23.570,-9.765625,0.166016,0.174805,-0.010498,0.011475,-0.024414,0.,0.,0.,2.501953,-0.01416,0.054443,0.25,102,45,51,101
4.670,15:19:23.670,-9.755859,0.118164,0.108398,-0.011475,0.013672,-0.027588,0.,0.,0.,2.502686,-0.01416,0.054443,0.25,102,45,51,101
4.770,15:19:23.770,-9.884766,0.189453,0.118164,-0.011475,0.012695,-0.027588,0.,0.,0.,2.503418,-0.01416,0.054443,0.25,102,45,51,101
4.870,15:19:23.870,-9.884766,0.189453,0.118164,-0.011475,0.012695,-0.027588,0.,0.,0.,2.503418,-0.01416,0.054443,0.25,102,45,51,101
4.970,15:19:23.970,-9.736328,0.18457,0.151367,-0.013672,0.012695,-0.025391,0.,0.,0.,2.504639,-0.01416,0.054443,0.25,102,45,51,101
5.070,15:19:24.070,-9.770508,0.037109,0.189453,-0.009521,0.019043,-0.026367,0.,0.,0.,2.505615,-0.01416,0.054443,0.25,102,45,51,101
5.170,15:19:24.170,-9.866211,0.175781,0.075195,-0.015869,0.008301,-0.024414,0.,0.,0.,2.506348,-0.01416,0.054443,0.25,102,45,51,101
5.270,15:19:24.270,-9.875,0.166016,0.194336,-0.009521,0.013672,-0.025391,0.,0.,0.,2.506836,-0.01416,0.054443,0.25,102,45,51,101
5.370,15:19:24.370,-9.827148,0.099609,0.104492,-0.010498,0.010498,-0.024414,0.,0.,0.,2.507812,-0.01416,0.054443,0.25,102,45,51,101
5.470,15:19:24.470,-9.703125,0.118164,0.084961,-0.009521,0.013672,-0.026367,0.,0.,0.,2.508301,-0.01416,0.054199,0.25,102,45,51,101
5.570,15:19:24.570,-9.703125,0.118164,0.084961,-0.009521,0.013672,-0.026367,0.,0.,0.,2.508301,-0.01416,0.054199,0.25,102,45,51,101
5.670,15:19:24.670,-9.78418,0.170898,0.108398,-0.009521,0.012695,-0.026367,0.,0.,0.,2.51001,-0.01416,0.054199,0.25,102,45,51,101
5.770,15:19:24.770,-9.78418,0.170898,0.108398,-0.009521,0.012695,-0.026367,0.,0.,0.,2.51001,-0.01416,0.054199,0.25,102,45,51,101
5.870,15:19:24.870,-9.746094,0.132812,0.108398,-0.012695,0.014893,-0.024414,0.,0.,0.,2.510742,-0.01416,0.054199,0.25,101,45,51,101
5.970,15:19:24.970,-9.851562,0.166016,0.166016,-0.012695,0.010498,-0.024414,0.,0.,0.,2.51123,-0.01416,0.054199,0.25,101,45,51,101
6.070,15:19:25.070,-9.803711,0.089844,0.170898,-0.011475,0.014893,-0.028564,0.,0.,0.,2.512939,-0.01416,0.054199,0.25,101,45,51,101
6.170,15:19:25.170,-9.770508,0.170898,0.137695,-0.013672,0.012695,-0.026367,0.,0.,0.,2.513672,-0.01416,0.054199,0.25,101,45,51,101
6.270,15:19:25.270,-9.827148,0.104492,0.113281,-0.012695,0.014893,-0.027588,0.,0.,0.,2.514648,-0.01416,0.054199,0.25,101,45,51,101
6.370,15:19:25.370,-9.779297,0.170898,0.089844,-0.011475,0.014893,-0.027588,0.,0.,0.,2.515137,-0.01416,0.054199,0.25,101,45,51,101
6.470,15:19:25.470,-9.750977,0.113281,0.075195,-0.011475,0.014893,-0.026367,0.,0.,0.,2.515869,-0.01416,0.054199,0.25,101,45,51,101
6.570,15:19:25.570,-9.793945,0.170898,0.118164,-0.011475,0.012695,-0.026367,0.,0.,0.,2.516602,-0.01416,0.054199,0.25,101,45,51,101
6.670,15:19:25.670,-9.731445,0.208984,0.099609,-0.012695,0.009521,-0.025391,0.,0.,0.,2.517334,-0.01416,0.054199,0.25,101,45,51,101
6.770,15:19:25.770,-9.914062,0.113281,0.099609,-0.009521,0.015869,-0.025391,0.,0.,0.,2.518799,-0.01416,0.053955,0.25,102,45,51,101
6.870,15:19:25.870,-9.90918,0.170898,0.104492,-0.009521,0.011475,-0.026367,0.,0.,0.,2.519531,-0.01416,0.053955,0.25,102,45,51,101
6.970,15:19:25.970,-9.813477,0.213867,0.12793,-0.009521,0.009521,-0.026367,0.,0.,0.,2.520264,-0.01416,0.053955,0.25,102,45,51,101
7.070,15:19:26.070,-9.84668,0.089844,0.137695,-0.010498,0.010498,-0.025391,0.,0.,0.,2.522705,-0.01416,0.053955,0.25,102,45,51,101
7.170,15:19:26.170,-9.866211,0.113281,0.075195,-0.009521,0.011475,-0.027588,0.,0.,0.,2.523193,-0.01416,0.053955,0.25,102,45,51,101
7.270,15:19:26.270,-9.866211,0.113281,0.075195,-0.009521,0.011475,-0.027588,0.,0.,0.,2.523193,-0.01416,0.053955,0.25,102,45,51,101
7.370,15:19:26.370,-9.78418,0.123047,0.094727,-0.009521,0.012695,-0.025391,0.,0.,0.,2.524658,-0.01416,0.053955,0.25,102,45,51,101
7.470,15:19:26.470,-9.78418,0.123047,0.094727,-0.009521,0.012695,-0.025391,0.,0.,0.,2.524658,-0.01416,0.053955,0.25,102,45,51,101
7.570,15:19:26.570,-9.894531,0.175781,0.118164,-0.011475,0.010498,-0.025391,0.,0.,0.,2.525391,-0.01416,0.053955,0.25,102,45,51,101
7.670,15:19:26.670,-9.894531,0.175781,0.118164,-0.011475,0.010498,-0.025391,0.,0.,0.,2.525391,-0.01416,0.053955,0.25,102,45,51,101
7.770,15:19:26.770,-9.894531,0.175781,0.118164,-0.011475,0.010498,-0.025391,0.,0.,0.,2.525391,-0.01416,0.053955,0.25,102,45,51,101
7.870,15:19:26.870,-9.789062,0.15625,0.118164,-0.014893,0.012695,-0.023193,0.,0.,0.,2.527344,-0.014404,0.053955,0.25,102,45,51,101
7.970,15:19:26.970,-9.789062,0.15625,0.118164,-0.014893,0.012695,-0.023193,0.,0.,0.,2.527344,-0.014404,0.053955,0.25,102,45,51,101
8.070,15:19:27.070,-9.818359,0.123047,0.199219,-0.010498,0.013672,-0.026367,0.,0.,0.,2.52832,-0.01416,0.053955,0.25,102,45,51,101
8.170,15:19:27.170,-9.818359,0.123047,0.199219,-0.010498,0.013672,-0.026367,0.,0.,0.,2.52832,-0.01416,0.053955,0.25,102,45,51,101
8.270,15:19:27.270,-9.836914,0.15625,0.099609,-0.011475,0.010498,-0.029785,0.,0.,0.,2.529785,-0.01416,0.053955,0.25,102,45,51,101
8.370,15:19:27.370,-9.836914,0.15625,0.099609,-0.011475,0.010498,-0.029785,0.,0.,0.,2.529785,-0.01416,0.053955,0.25,102,45,51,101
8.470,15:19:27.470,-9.78418,0.232422,0.118164,-0.011475,0.012695,-0.024414,0.,0.,0.,2.530518,-0.01416,0.053955,0.25,102,45,51,101
8.570,15:19:27.570,-9.78418,0.232422,0.118164,-0.011475,0.012695,-0.024414,0.,0.,0.,2.530518,-0.01416,0.053955,0.25,102,45,51,101
8.670,15:19:27.670,-9.827148,0.15625,0.212891,-0.010498,0.012695,-0.028564,0.,0.,0.,2.531738,-0.01416,0.053955,0.25,102,45,51,101
8.770,15:19:27.770,-9.827148,0.15625,0.099609,-0.011475,0.013672,-0.024414,0.,0.,0.,2.532471,-0.01416,0.053955,0.25,102,45,51,101
8.870,15:19:27.870,-9.827148,0.15625,0.099609,-0.011475,0.013672,-0.024414,0.,0.,0.,2.532471,-0.01416,0.053955,0.25,102,45,51,101
8.970,15:19:27.970,-9.818359,0.118164,0.12793,-0.013672,0.013672,-0.028564,0.,0.,0.,2.533936,-0.01416,0.053711,0.25,102,45,51,101
9.070,15:19:28.070,-9.808594,0.166016,0.132812,-0.013672,0.014893,-0.025391,0.,0.,0.,2.534668,-0.014404,0.053711,0.25,102,45,51,101
9.170,15:19:28.170,-9.803711,0.175781,0.179688,-0.013672,0.011475,-0.027588,0.,0.,0.,2.5354,-0.014404,0.053711,0.25,102,45,51,101
9.270,15:19:28.270,-9.813477,0.12793,0.141602,-0.010498,0.008301,-0.026367,0.,0.,0.,2.537598,-0.014404,0.053711,0.25,102,45,51,101
9.370,15:19:28.370,-9.813477,0.12793,0.141602,-0.010498,0.008301,-0.026367,0.,0.,0.,2.537598,-0.014404,0.053711,0.25,102,45,51,101
9.470,15:19:28.470,-9.813477,0.12793,0.141602,-0.010498,0.008301,-0.026367,0.,0.,0.,2.537598,-0.014404,0.053711,0.25,102,45,51,101
9.570,15:19:28.570,-9.818359,0.166016,0.170898,-0.012695,0.013672,-0.026367,0.,0.,0.,2.539551,-0.014404,0.053711,0.25,102,45,51,101
9.670,15:19:28.670,-9.818359,0.166016,0.170898,-0.012695,0.013672,-0.026367,0.,0.,0.,2.539551,-0.014404,0.053711,0.25,102,45,51,101
9.770,15:19:28.770,-9.774414,0.137695,0.12793,-0.015869,0.012695,-0.023193,0.,0.,0.,2.541748,-0.014404,0.053467,0.25,102,45,51,101
9.870,15:19:28.870,-9.866211,0.123047,0.170898,-0.010498,0.011475,-0.027588,0.,0.,0.,2.54248,-0.014404,0.053467,0.25,102,45,51,101
9.970,15:19:28.970,-9.818359,0.118164,0.132812,-0.009521,0.012695,-0.026367,0.,0.,0.,2.543701,-0.014404,0.053467,0.25,102,45,51,101
10.070,15:19:29.070,-9.818359,0.118164,0.132812,-0.009521,0.012695,-0.026367,0.,0.,0.,2.543701,-0.014404,0.053467,0.25,102,45,51,101
10.170,15:19:29.170,-9.866211,0.118164,0.161133,-0.012695,0.012695,-0.027588,0.,0.,0.,2.544678,-0.014404,0.053467,0.25,102,45,51,101
10.270,15:19:29.270,-9.866211,0.118164,0.161133,-0.012695,0.012695,-0.027588,0.,0.,0.,2.544678,-0.014404,0.053467,0.25,102,45,51,101
10.370,15:19:29.370,-9.866211,0.118164,0.161133,-0.012695,0.012695,-0.027588,0.,0.,0.,2.544678,-0.014404,0.053467,0.25,102,45,51,101
10.470,15:19:29.470,-9.851562,0.18457,0.166016,-0.010498,0.010498,-0.025391,0.,0.,0.,2.546387,-0.014648,0.053223,0.25,102,45,51,101
10.570,15:19:29.570,-9.851562,0.18457,0.166016,-0.010498,0.010498,-0.025391,0.,0.,0.,2.546387,-0.014648,0.053223,0.25,102,45,51,101
10.670,15:19:29.670,-9.851562,0.18457,0.166016,-0.010498,0.010498,-0.025391,0.,0.,0.,2.546387,-0.014648,0.053223,0.25,102,45,51,101
10.770,15:19:29.770,-9.808594,0.199219,0.146484,-0.012695,0.009521,-0.026367,0.,0.,0.,2.547852,-0.014648,0.053223,0.25,102,45,51,101
10.870,15:19:29.870,-9.808594,0.199219,0.146484,-0.012695,0.009521,-0.026367,0.,0.,0.,2.547852,-0.014648,0.053223,0.25,102,45,51,101
10.970,15:19:29.970,-9.813477,0.080078,0.146484,-0.011475,0.011475,-0.027588,0.,0.,0.,2.549316,-0.014648,0.053223,0.25,101,45,51,101
11.070,15:19:30.070,-9.813477,0.080078,0.146484,-0.011475,0.011475,-0.027588,0.,0.,0.,2.549316,-0.014648,0.053223,0.25,101,45,51,101
11.170,15:19:30.170,-9.770508,0.104492,0.123047,-0.012695,0.010498,-0.024414,0.,0.,0.,2.550049,-0.014648,0.053223,0.25,101,45,51,101
11.270,15:19:30.270,-9.798828,0.208984,0.151367,-0.013672,0.014893,-0.028564,0.,0.,0.,2.550537,-0.014648,0.053223,0.25,101,45,51,101
11.370,15:19:30.370,-9.789062,0.108398,0.151367,-0.010498,0.011475,-0.025391,0.,0.,0.,2.551514,-0.014648,0.053223,0.25,101,45,51,101
11.470,15:19:30.470,-9.789062,0.108398,0.151367,-0.010498,0.011475,-0.025391,0.,0.,0.,2.551514,-0.014648,0.053223,0.25,101,45,51,101
11.570,15:19:30.570,-9.62207,0.336914,-0.151367,0.088135,0.003174,-0.061523,0.,0.,0.,2.552734,-0.014893,0.053467,0.25,101,45,51,101
11.670,15:19:30.670,-9.544922,0.855469,0.393555,-0.031738,0.009521,-0.108398,0.,0.,0.,2.553467,-0.014648,0.053223,0.25,101,45,51,101
11.770,15:19:30.770,-10.866211,-0.023438,1.120117,-0.023193,-0.016846,-0.098877,0.,0.,0.,2.553955,-0.014893,0.052979,0.25,101,45,51,101
11.870,15:19:30.870,-9.927734,-1.46875,0.754883,0.006348,0.009521,0.011475,0.,0.,0.,2.554443,-0.015625,0.052979,0.25,101,45,51,101
11.970,15:19:30.970,-11.03418,-0.384766,0.902344,-0.031738,0.026367,0.061523,0.,0.,0.,2.55542,-0.014648,0.053223,0.25,101,45,51,101
12.070,15:19:31.070,-10.105469,-0.265625,0.061523,-0.052002,0.034912,-0.052979,0.,0.,0.,2.555908,-0.014893,0.053467,0.25,101,45,51,102
12.170,15:19:31.170,-9.056641,-0.860352,-0.379883,0.003174,-0.051025,0.051025,0.,0.,0.,2.556641,-0.014648,0.053467,0.25,102,45,51,101
12.270,15:19:31.270,-10.59375,0.78418,0.151367,-0.006348,-0.027588,-0.011475,0.,0.,0.,2.557129,-0.014648,0.053223,0.25,102,45,51,101
12.370,15:19:31.370,-10.206055,0.194336,-0.735352,-0.033936,-0.034912,-0.154297,0.,0.,0.,2.557861,-0.015137,0.053467,0.25,102,45,51,102
12.470,15:19:31.470,-8.908203,-1.069336,-0.146484,-0.008301,-0.092529,-0.026367,0.,0.,0.,2.558594,-0.015137,0.053467,0.25,102,45,51,102
12.570,15:19:31.570,-10.201172,0.351562,0.954102,-0.011475,-0.001953,-0.073242,0.,0.,0.,2.559326,-0.015137,0.052979,0.25,102,45,51,101
12.670,15:19:31.670,-10.445312,-0.413086,-0.023438,-0.02002,0.114746,-0.090332,0.,0.,0.,2.559814,-0.015137,0.053711,0.25,102,45,51,101
12.770,15:19:31.770,-8.238281,0.260742,-1.376953,-0.003174,-0.047852,0.005127,0.,0.,0.,2.560547,-0.014404,0.053467,0.25,102,45,51,101
12.870,15:19:31.870,-10.234375,-0.227539,0.897461,-0.00415,0.099854,-0.127686,0.,0.,0.,2.562012,-0.014893,0.053223,0.25,102,45,51,101
12.970,15:19:31.970,-10.291992,0.323242,0.902344,-0.007324,0.007324,0.056396,0.,0.,0.,2.562744,-0.01416,0.052246,0.25,102,45,51,101
13.070,15:19:32.070,-8.956055,0.199219,-0.897461,-0.007324,0.010498,0.024414,0.,0.,0.,2.563232,-0.014404,0.052002,0.25,103,45,51,101
13.170,15:19:32.170,-9.625977,-0.170898,-1.020508,0.005127,-0.04248,-0.045654,0.,0.,0.,2.563721,-0.014404,0.052002,0.25,103,45,51,101
13.270,15:19:32.270,-10.344727,-0.046875,0.944336,0.02002,0.083008,-0.04248,0.,0.,0.,2.564453,-0.014404,0.052002,0.25,103,45,51,101
13.370,15:19:32.370,-10.105469,0.499023,0.199219,-0.030762,0.,-0.041504,0.,0.,0.,2.565186,-0.014648,0.052002,0.25,103,45,51,101
13.470,15:19:32.470,-10.105469,0.499023,0.199219,-0.030762,0.,-0.041504,0.,0.,0.,2.565186,-0.014648,0.052002,0.25,103,45,51,101
13.570,15:19:32.570,-9.578125,0.646484,1.5625,-0.009521,-0.038086,0.019043,0.,0.,0.,2.565918,-0.014893,0.051514,0.25,103,45,51,101
13.670,15:19:32.670,-9.40625,-0.013672,-0.370117,0.015869,0.046631,-0.00415,0.,0.,0.,2.56665,-0.014648,0.052002,0.25,103,45,51,140
13.770,15:19:32.770,-9.708008,-0.550781,-1.34375,-0.000977,-0.044678,-0.00415,0.,0.,0.,2.567139,-0.014404,0.052002,0.25,103,45,51,254
13.870,15:19:32.870,-8.759766,-0.15625,-0.332031,-0.031738,0.057373,-0.052002,0.,0.,0.,2.567871,-0.013916,0.052002,0.25,103,45,51,216
13.970,15:19:32.970,-10.450195,0.422852,0.735352,-0.018066,-0.018066,-0.073242,0.,0.,0.,2.568604,-0.014404,0.051514,0.25,104,45,51,101
14.070,15:19:33.070,-10.454102,0.507812,1.932617,-0.008301,0.108398,0.024414,0.,0.,0.,2.569336,-0.014404,0.051514,0.25,104,45,51,177
14.170,15:19:33.170,-9.765625,0.436523,-0.731445,-0.025391,-0.010498,0.047852,0.,0.,0.,2.570312,-0.014404,0.052002,0.25,104,45,51,293
14.270,15:19:33.270,-8.850586,0.166016,-0.246094,0.007324,-0.051025,0.040283,0.,0.,0.,2.570557,-0.01416,0.051758,0.25,104,45,51,216
14.370,15:19:33.370,-9.683594,-0.099609,-0.393555,0.008301,0.081787,-0.049805,0.,0.,0.,2.571289,-0.014404,0.052002,0.25,104,45,51,102
14.470,15:19:33.470,-10.55957,0.,0.630859,-0.018066,0.032959,-0.061523,0.,0.,0.,2.572021,-0.014893,0.051514,0.25,106,45,51,102
14.570,15:19:33.570,-9.683594,1.016602,0.90625,-0.029785,0.074463,-0.039307,0.,0.,0.,2.572754,-0.014648,0.051758,0.25,105,45,51,102
14.670,15:19:33.670,-9.477539,-0.094727,-0.15625,-0.013672,-0.046631,-0.003174,0.,0.,0.,2.573486,-0.01416,0.051758,0.25,105,45,51,102
14.770,15:19:33.770,-9.554688,-0.208984,0.099609,0.009521,0.074463,0.012695,0.,0.,0.,2.574219,-0.013916,0.051758,0.25,105,45,51,102
14.870,15:19:33.870,-9.554688,-0.208984,0.099609,0.009521,0.074463,0.012695,0.,0.,0.,2.574219,-0.013916,0.051758,0.25,105,45,51,102
14.970,15:19:33.970,-9.089844,0.123047,0.864258,-0.005127,0.003174,-0.091309,0.,0.,0.,2.575439,-0.014404,0.052002,0.25,105,45,51,294
15.070,15:19:34.070,-9.961914,0.726562,1.020508,-0.024414,0.049805,-0.089355,0.,0.,0.,2.576172,-0.01416,0.052002,0.25,105,45,51,294
15.170,15:19:34.170,-10.660156,-0.080078,0.973633,0.001953,0.018066,-0.000977,0.,0.,0.,2.576904,-0.013916,0.052002,0.25,105,45,51,294
15.270,15:19:34.270,-9.046875,0.123047,-1.291016,-0.007324,0.039307,0.001953,0.,0.,0.,2.577393,-0.013916,0.052734,0.25,105,45,51,217
15.370,15:19:34.370,-9.023438,-0.365234,-1.462891,-0.02124,-0.075439,-0.064697,0.,0.,0.,2.577881,-0.01416,0.052246,0.25,105,45,51,102
15.470,15:19:34.470,-9.640625,-0.179688,1.333984,-0.016846,0.089355,-0.098877,0.,0.,0.,2.578613,-0.013916,0.052246,0.25,106,45,51,102
15.570,15:19:34.570,-10.986328,0.046875,0.630859,-0.02124,0.028564,-0.052002,0.,0.,0.,2.579102,-0.013916,0.052002,0.25,105,45,51,103
15.670,15:19:34.670,-10.986328,0.046875,0.630859,-0.02124,0.028564,-0.052002,0.,0.,0.,2.579102,-0.013916,0.052002,0.25,105,45,51,103
15.770,15:19:34.770,-9.416016,0.166016,-1.277344,-0.016846,-0.067871,-0.007324,0.,0.,0.,2.580566,-0.013916,0.052246,0.25,105,45,51,103
15.870,15:19:34.870,-9.416016,0.166016,-1.277344,-0.016846,-0.067871,-0.007324,0.,0.,0.,2.580566,-0.013916,0.052246,0.25,105,45,51,103
15.970,15:19:34.970,-9.416016,0.166016,-1.277344,-0.016846,-0.067871,-0.007324,0.,0.,0.,2.580566,-0.013916,0.052246,0.25,105,45,51,103
16.070,15:19:35.070,-9.914062,0.280273,1.219727,-0.010498,-0.02002,-0.048828,0.,0.,0.,2.582031,-0.013916,0.052002,0.25,105,45,51,101
16.170,15:19:35.170,-9.808594,0.774414,1.078125,-0.006348,0.104248,0.,0.,0.,0.,2.583008,-0.013916,0.052246,0.25,105,45,51,102
16.270,15:19:35.270,-10.641602,0.008789,-1.053711,0.007324,-0.025391,0.046631,0.,0.,0.,2.583496,-0.01416,0.05249,0.25,105,45,51,217
16.370,15:19:35.370,-8.75,-0.118164,-0.626953,-0.005127,0.010498,0.015869,0.,0.,0.,2.584229,-0.013916,0.052246,0.25,105,45,51,294
16.470,15:19:35.470,-9.712891,0.084961,-0.436523,-0.024414,-0.005127,-0.076416,0.,0.,0.,2.584717,-0.01416,0.052246,0.25,105,45,51,178
16.570,15:19:35.570,-10.602539,0.237305,2.350586,0.000977,0.108398,-0.030762,0.,0.,0.,2.585449,-0.013916,0.052246,0.25,105,45,51,102
16.670,15:19:35.670,-10.579102,0.646484,-0.113281,-0.031738,0.055176,-0.003174,0.,0.,0.,2.585938,-0.013672,0.052734,0.25,105,45,51,102
16.770,15:19:35.770,-9.147461,-0.217773,-0.655273,-0.011475,-0.075439,0.008301,0.,0.,0.,2.58667,-0.01416,0.05249,0.25,105,45,51,103
16.870,15:19:35.870,-9.147461,-0.217773,-0.655273,-0.011475,-0.075439,0.008301,0.,0.,0.,2.58667,-0.01416,0.05249,0.25,105,45,51,103
16.970,15:19:35.970,-10.253906,-0.503906,0.768555,0.,0.003174,-0.071289,0.,0.,0.,2.587646,-0.014404,0.052734,0.25,105,45,51,102
17.070,15:19:36.070,-9.975586,0.507812,0.488281,-0.023193,0.111572,-0.056396,0.,0.,0.,2.588379,-0.014404,0.053223,0.25,105,45,51,101
17.170,15:19:36.170,-9.975586,0.541016,0.379883,-0.029785,-0.069092,0.001953,0.,0.,0.,2.588867,-0.014648,0.052734,0.25,105,45,51,101
17.270,15:19:36.270,-9.185547,0.422852,-0.242188,0.000977,0.015869,0.026367,0.,0.,0.,2.5896,-0.014404,0.052734,0.25,106,45,51,101
17.370,15:19:36.370,-10.239258,-0.78418,-1.053711,0.006348,-0.037109,-0.051025,0.,0.,0.,2.590332,-0.014648,0.052979,0.25,107,45,51,140
17.470,15:19:36.470,-9.774414,-0.151367,0.854492,-0.014893,0.065918,-0.031738,0.,0.,0.,2.590576,-0.014648,0.052979,0.25,107,45,51,255
17.570,15:19:36.570,-9.688477,0.855469,0.545898,-0.011475,0.016846,-0.072266,0.,0.,0.,2.591064,-0.014648,0.052734,0.25,104,45,51,255
17.670,15:19:36.670,-10.291992,0.046875,-1.348633,-0.02124,-0.02002,-0.008301,0.,0.,0.,2.592529,-0.013916,0.052979,0.25,104,45,51,102
17.770,15:19:36.770,-10.291992,0.046875,-1.348633,-0.02124,-0.02002,-0.008301,0.,0.,0.,2.592529,-0.013916,0.052979,0.25,104,45,51,102
17.870,15:19:36.870,-9.128906,0.051758,0.446289,-0.009521,0.081787,-0.086182,0.,0.,0.,2.593506,-0.013916,0.052979,0.25,105,45,51,140
17.970,15:19:36.970,-10.928711,0.15625,1.234375,0.014893,0.071289,-0.056396,0.,0.,0.,2.593994,-0.013916,0.052734,0.25,104,45,51,255
18.070,15:19:37.070,-9.985352,0.608398,0.123047,-0.025391,0.07959,-0.003174,0.,0.,0.,2.594482,-0.013672,0.052979,0.25,104,45,51,294
18.170,15:19:37.170,-9.46875,-0.113281,-1.462891,-0.027588,-0.143555,-0.019043,0.,0.,0.,2.595215,-0.013672,0.052979,0.25,104,45,51,294
18.270,15:19:37.270,-9.114258,-0.527344,0.55957,0.007324,0.023193,-0.022217,0.,0.,0.,2.595703,-0.013672,0.053223,0.25,104,45,51,256
18.370,15:19:37.370,-9.114258,-0.527344,0.55957,0.007324,0.023193,-0.022217,0.,0.,0.,2.595703,-0.013672,0.053223,0.25,104,45,51,256
18.470,15:19:37.470,-10.37793,-0.698242,0.222656,-0.00415,0.072266,-0.027588,0.,0.,0.,2.596436,-0.013916,0.053223,0.25,105,45,51,140
18.570,15:19:37.570,-9.741211,1.079102,1.229492,-0.012695,0.107422,0.010498,0.,0.,0.,2.596924,-0.01416,0.053223,0.25,105,45,51,140
18.670,15:19:37.670,-9.975586,0.802734,-1.111328,-0.018066,-0.109375,-0.005127,0.,0.,0.,2.597412,-0.01416,0.053223,0.25,105,45,51,255
18.770,15:19:37.770,-9.875,-0.327148,0.987305,0.001953,-0.02002,0.039307,0.,0.,0.,2.598145,-0.014404,0.053467,0.25,105,45,51,255
18.870,15:19:37.870,-9.501953,-0.84082,-0.583984,-0.003174,0.052979,-0.026367,0.,0.,0.,2.598877,-0.014648,0.053955,0.25,105,45,51,141
18.970,15:19:37.970,-9.181641,0.413086,0.882812,-0.012695,0.05835,-0.052979,0.,0.,0.,2.599365,-0.014893,0.053711,0.25,105,45,51,102
